predictor,calibration_scenarios,evaluation_scenarios,calibration_evaluation_overlap,samples,rmse_m,mean_nll,mean_sigma_m,coverage_50,coverage_90,coverage_95,calibration_error
constant_velocity,6,6,0,7050,0.16734105227931403,-2.859348051330509,0.08387860304142251,0.750354609929078,0.8621276595744681,0.8845390070921986,0.11789598108747042
constant_acceleration,6,6,0,7050,0.07754534554271378,-4.52173594520811,0.037501435676935174,0.8287943262411348,0.9056737588652483,0.9224113475177305,0.12068557919621752
