scheduler,scenario_id,source,seed,vehicles,duration_s,generated_packets,delivered_packets,failed_attempts,deadline_dropped_packets,overflow_dropped_packets,remaining_packets,goodput_mbps,packet_delivery_ratio,scheduled_outage_fraction,availability_outage_fraction,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,deadline_miss_ratio,censored_packet_ratio,deadline_or_censored_ratio,delivered_before_expiry_ratio,undelivered_packets_at_disconnect,urgent_generated_packets,urgent_delivered_packets,urgent_packet_delivery_ratio,urgent_deadline_miss_ratio,bulk_generated_packets,bulk_delivered_packets,bulk_packet_delivery_ratio,bulk_deadline_miss_ratio,jain_fairness,demand_normalized_jain_fairness,mean_scheduled_snr_db,mean_scheduled_ber,mean_scheduled_per,mean_scheduled_relative_power,switch_count,study,setting,prediction_horizon_s,slot_duration_s,offered_load,traffic_model,traffic_class_mode,packet_bits,deadline_s,reference_snr_db,field_of_view_deg,outage_mode,sensing_model,sensing_covariance_aware,diagnostic_quick_run
reactive_greedy,synthetic-20260827-v5-slots120-dt0.100000,controlled_synthetic_motion,20260827,5,12.0,3452,2750,307,544,0,158,2.75,0.7966396292004635,0.0,0.2,243.8909090909091,200.0,700.0000000000001,1000.0,0.15758980301274622,0.04577056778679027,0.2033603707995365,0.8766337264902774,4,0,0,0.0,0.0,0,0,0.0,0.0,0.512881897795269,0.7845246595139629,11.817948494603536,7.530503762612227e-06,0.07615137768225978,0.2799656692637767,105,offered_load,load=0.7,1.0,0.1,0.7,poisson,single,12000,1.2,18.0,70.0,ber,perfect,True,False
proportional_fair,synthetic-20260827-v5-slots120-dt0.100000,controlled_synthetic_motion,20260827,5,12.0,3452,765,2,2359,0,328,0.765,0.22161066048667438,0.0,0.2,665.0980392156863,600.0000000000001,1400.0000000000002,1600.0,0.6833719582850522,0.09501738122827347,0.7783893395133256,0.24386356391456807,4,0,0,0.0,0.0,0,0,0.0,0.0,0.639411967156694,0.49052987123583497,16.45968582158282,4.651780035891211e-08,0.0005541133102678676,0.7603747575236437,44,offered_load,load=0.7,1.0,0.1,0.7,poisson,single,12000,1.2,18.0,70.0,ber,perfect,True,False
kalman_predictive,synthetic-20260827-v5-slots120-dt0.100000,controlled_synthetic_motion,20260827,5,12.0,3452,2603,245,635,0,214,2.603,0.7540556199304751,0.0,0.2,506.377257011141,500.0,900.0,1200.0000000000002,0.1839513325608343,0.06199304750869061,0.2459443800695249,0.8297736691106152,4,0,0,0.0,0.0,0,0,0.0,0.0,0.5145286411020175,0.7741516722099038,13.741946271232615,4.991047494830814e-06,0.05114265821551215,0.48820767360483475,95,offered_load,load=0.7,1.0,0.1,0.7,poisson,single,12000,1.2,18.0,70.0,ber,perfect,True,False
link_lifetime,synthetic-20260827-v5-slots120-dt0.100000,controlled_synthetic_motion,20260827,5,12.0,3452,2544,224,682,0,226,2.544,0.7369640787949016,0.0,0.2,506.6823899371069,500.0,900.0,1200.0000000000002,0.19756662804171496,0.06546929316338354,0.2630359212050985,0.810965890978642,4,0,0,0.0,0.0,0,0,0.0,0.0,0.5148933089462006,0.7681021002107656,13.86556354856573,4.449604215658905e-06,0.04594499453390647,0.5014043992214675,96,offered_load,load=0.7,1.0,0.1,0.7,poisson,single,12000,1.2,18.0,70.0,ber,perfect,True,False
oracle,synthetic-20260827-v5-slots120-dt0.100000,controlled_synthetic_motion,20260827,5,12.0,3452,2544,224,682,0,226,2.544,0.7369640787949016,0.0,0.2,506.6823899371069,500.0,900.0,1200.0000000000002,0.19756662804171496,0.06546929316338354,0.2630359212050985,0.810965890978642,4,0,0,0.0,0.0,0,0,0.0,0.0,0.5148933089462006,0.7681021002107656,13.86556354856573,4.449604215658905e-06,0.04594499453390647,0.5014043992214675,96,offered_load,load=0.7,1.0,0.1,0.7,poisson,single,12000,1.2,18.0,70.0,ber,perfect,True,False
reactive_greedy,synthetic-20260827-v5-slots120-dt0.100000,controlled_synthetic_motion,20260827,5,12.0,4553,3548,439,771,0,234,3.548,0.7792664177465407,0.0,0.2,282.10259301014656,200.0,800.0,1100.0,0.16933889743026576,0.051394684823193496,0.22073358225345927,0.8597043857523625,4,0,0,0.0,0.0,0,0,0.0,0.0,0.509945850956652,0.7823825431237174,11.820397237288233,8.517017943921478e-06,0.0849503170821604,0.2886195103221642,107,offered_load,load=0.9,1.0,0.1,0.9,poisson,single,12000,1.2,18.0,70.0,ber,perfect,True,False
proportional_fair,synthetic-20260827-v5-slots120-dt0.100000,controlled_synthetic_motion,20260827,5,12.0,4553,937,2,3229,0,387,0.937,0.20579837469800133,0.0,0.2,700.7470651013874,600.0000000000001,1500.0,1600.0,0.7092027234790248,0.08499890182297386,0.7942016253019987,0.22704143445602132,4,0,0,0.0,0.0,0,0,0.0,0.0,0.6447855351431541,0.4778082589282934,16.52392329588873,5.447874623933881e-08,0.0006487019789720734,0.767653772979882,42,offered_load,load=0.9,1.0,0.1,0.9,poisson,single,12000,1.2,18.0,70.0,ber,perfect,True,False
kalman_predictive,synthetic-20260827-v5-slots120-dt0.100000,controlled_synthetic_motion,20260827,5,12.0,4553,3265,308,960,0,328,3.265,0.7171095980672084,0.0,0.2,701.531393568147,700.0000000000001,1100.0,1300.0,0.21084998901822974,0.07204041291456183,0.2828904019327916,0.7911315725708747,4,0,0,0.0,0.0,0,0,0.0,0.0,0.5131857305605521,0.7640653007509708,13.101342138337424,5.891720070148206e-06,0.06063746959261731,0.4323092873656062,93,offered_load,load=0.9,1.0,0.1,0.9,poisson,single,12000,1.2,18.0,70.0,ber,perfect,True,False
link_lifetime,synthetic-20260827-v5-slots120-dt0.100000,controlled_synthetic_motion,20260827,5,12.0,4553,3298,324,931,0,324,3.298,0.72435756643971,0.0,0.2,692.2983626440267,700.0000000000001,1100.0,1300.0,0.20448056226663738,0.07116187129365253,0.27564243356028995,0.799127695662709,4,0,0,0.0,0.0,0,0,0.0,0.0,0.5192986644182576,0.7670185458347507,13.011946265134657,6.207205684836669e-06,0.06341090687232516,0.42104726355634753,95,offered_load,load=0.9,1.0,0.1,0.9,poisson,single,12000,1.2,18.0,70.0,ber,perfect,True,False
oracle,synthetic-20260827-v5-slots120-dt0.100000,controlled_synthetic_motion,20260827,5,12.0,4553,3364,333,886,0,303,3.364,0.7388535031847133,0.0,0.2,675.0297265160523,700.0000000000001,1000.0,1200.0000000000002,0.19459696903140786,0.06654952778387876,0.2611464968152866,0.8151199418463775,4,0,0,0.0,0.0,0,0,0.0,0.0,0.5151141317434502,0.7703343561997974,12.926551532445519,6.472923248886356e-06,0.06616193962141233,0.4135730040813012,95,offered_load,load=0.9,1.0,0.1,0.9,poisson,single,12000,1.2,18.0,70.0,ber,perfect,True,False
