predictor,scenario_id,actor_id,anchor_index,horizon_steps,ade_m,fde_m,range_mae_m,bearing_mae_deg,snr_mae_db,outage_f1,outage_auroc,link_lifetime_error_steps,link_lifetime_error_s,predicted_link_lifetime_s,actual_link_lifetime_s,actual_link_lifetime_censored,outage_positive_steps
last_position,synthetic-20260827-v5-slots120-dt0.100000,vehicle-0,9,10,0.6581829781517963,1.2141479945017566,0.6523607312654007,0.27523268517074495,0.06458166574246302,1.0,nan,0.0,0.0,0.9999999999999964,0.9999999999999964,True,0
last_position,synthetic-20260827-v5-slots120-dt0.100000,vehicle-1,9,10,0.8212360223298351,1.4319780726554006,0.8179970518227861,0.3083042015287532,0.17680525133066,1.0,nan,0.0,0.0,0.9999999999999964,0.9999999999999964,True,0
last_position,synthetic-20260827-v5-slots120-dt0.100000,vehicle-2,9,10,0.2886632153306479,0.550533929719297,0.27886960732441396,0.26003932465890334,0.017832805324265698,1.0,nan,0.0,0.0,0.9999999999999964,0.9999999999999964,True,0
last_position,synthetic-20260827-v5-slots120-dt0.100000,vehicle-3,9,10,0.8067932140052964,1.7186490798867686,0.10548525519096899,0.6286742339311276,0.08765736604432597,1.0,nan,0.0,0.0,0.9999999999999964,0.9999999999999964,True,0
last_position,synthetic-20260827-v5-slots120-dt0.100000,vehicle-4,9,10,2.241243464530558,4.036528141448028,2.226146798454292,0.33113340788975576,0.1946300945492431,1.0,nan,0.0,0.0,0.0,0.0,False,10
constant_velocity,synthetic-20260827-v5-slots120-dt0.100000,vehicle-0,9,10,0.029872450584677312,0.07489849160369902,0.027405026400373345,0.009396766024763758,0.004035333462496382,1.0,nan,0.0,0.0,0.9999999999999964,0.9999999999999964,True,0
constant_velocity,synthetic-20260827-v5-slots120-dt0.100000,vehicle-1,9,10,0.09038325962702407,0.22581504916304454,0.09023103852220729,0.00581669246939816,0.01927804764306309,1.0,nan,0.0,0.0,0.9999999999999964,0.9999999999999964,True,0
constant_velocity,synthetic-20260827-v5-slots120-dt0.100000,vehicle-2,9,10,0.04573595557190498,0.11599336554335662,0.0435840247337211,0.009777422243216394,0.005665190997985903,1.0,nan,0.0,0.0,0.9999999999999964,0.9999999999999964,True,0
constant_velocity,synthetic-20260827-v5-slots120-dt0.100000,vehicle-3,9,10,0.3653385362724306,0.9180831114308946,0.0030551827801332367,0.3734779839340353,0.043105895223168746,1.0,nan,0.0,0.0,0.9999999999999964,0.9999999999999964,True,0
constant_velocity,synthetic-20260827-v5-slots120-dt0.100000,vehicle-4,9,10,0.12686839736778466,0.3161702759313149,0.069086787334885,0.04744970841033228,0.005788263876621435,1.0,nan,0.0,0.0,0.0,0.0,False,10
