scheduler,scenario_id,source,seed,vehicles,duration_s,generated_packets,delivered_packets,failed_attempts,deadline_dropped_packets,overflow_dropped_packets,remaining_packets,goodput_mbps,packet_delivery_ratio,scheduled_outage_fraction,availability_outage_fraction,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,deadline_miss_ratio,censored_packet_ratio,deadline_or_censored_ratio,delivered_before_expiry_ratio,undelivered_packets_at_disconnect,urgent_generated_packets,urgent_delivered_packets,urgent_packet_delivery_ratio,urgent_deadline_miss_ratio,bulk_generated_packets,bulk_delivered_packets,bulk_packet_delivery_ratio,bulk_deadline_miss_ratio,jain_fairness,demand_normalized_jain_fairness,mean_scheduled_snr_db,mean_scheduled_ber,mean_scheduled_per,mean_scheduled_relative_power,switch_count,ablation,channel_mode,traffic_model,history_noise_std_m,forecast_noise_std_m,ber_source
reactive_greedy,synthetic-20260837-v5-slots120-dt0.100000,controlled_synthetic_motion,20260837,5,12.0,3554,1575,127,1631,0,348,1.575,0.44316263365222286,0.0,0.265,229.0793650793651,200.0,500.0,725.9999999999992,0.45891952729319074,0.09791783905458638,0.5568373663477771,0.6645569620253164,187,0,0,0.0,0.0,0,0,0.0,0.0,0.7251519000477954,0.6772587731410271,12.76148791563451,3.488368321279245e-06,0.03573183004811677,0.3203030358578026,81,no_prediction,full,poisson,0.0,0.0,analytical
reactive_greedy,synthetic-20260838-v5-slots120-dt0.100000,controlled_synthetic_motion,20260838,5,12.0,3618,2609,359,899,0,110,2.609,0.7211166390270868,0.0,0.27666666666666667,280.7589114603296,200.0,900.0,1300.0,0.24847982310668879,0.030403537866224434,0.2788833609729132,0.8799325463743676,27,0,0,0.0,0.0,0,0,0.0,0.0,0.4608796272002952,0.6232327548379086,12.263412634345555,9.004895184423527e-06,0.0812294230749922,0.35415945163793183,92,no_prediction,full,poisson,0.0,0.0,analytical
cv_predictive,synthetic-20260827-v5-slots120-dt0.100000,controlled_synthetic_motion,20260827,5,12.0,3587,2700,289,692,0,195,2.7,0.7527181488709228,0.0,0.2,543.3333333333334,500.0,1000.0,1200.0000000000002,0.1929188737106217,0.054362977418455534,0.24728185112907722,0.8315368032029565,4,0,0,0.0,0.0,0,0,0.0,0.0,0.5084295385705528,0.7708111236458027,13.57701465377489,5.286145224513712e-06,0.05389399215165003,0.46952317847313557,90,cv_predictor,full,poisson,0.0,0.0,analytical
cv_predictive,synthetic-20260828-v5-slots120-dt0.100000,controlled_synthetic_motion,20260828,5,12.0,3506,1640,2146,1580,0,286,1.64,0.4677695379349686,0.0,0.025,697.0121951219512,700.0000000000001,1300.0,1600.0,0.450656018254421,0.08157444381061038,0.5322304620650313,0.48391856004721157,100,0,0,0.0,0.0,0,0,0.0,0.0,0.8036165133393289,0.7963789065131004,12.044331283639924,0.00011081032147075406,0.4632871106032679,0.5670917877918519,95,cv_predictor,full,poisson,0.0,0.0,analytical
cv_predictive,synthetic-20260829-v5-slots120-dt0.100000,controlled_synthetic_motion,20260829,5,12.0,3487,2248,1211,1035,0,204,2.248,0.644680240894752,0.0,0.18666666666666668,428.02491103202846,400.0,1000.0,1300.0,0.2968167479208489,0.0585030111843992,0.35531975910524805,0.773804740859783,116,0,0,0.0,0.0,0,0,0.0,0.0,0.6397188707739788,0.790590459897067,11.612950301430391,8.99838200572915e-05,0.2613631419581837,0.28749024128455525,89,cv_predictor,full,poisson,0.0,0.0,analytical
cv_predictive,synthetic-20260830-v5-slots120-dt0.100000,controlled_synthetic_motion,20260830,5,12.0,3597,2635,573,778,0,184,2.635,0.7325549068668334,0.0,0.2,402.7703984819734,400.0,900.0,1300.0,0.2162913539060328,0.051153739227133725,0.2674450931331665,0.9002391527160916,5,0,0,0.0,0.0,0,0,0.0,0.0,0.6953108844222061,0.7850783850024958,11.586997147298076,1.486157801613624e-05,0.12149118744473507,0.23864079337703853,103,cv_predictor,full,poisson,0.0,0.0,analytical
cv_predictive,synthetic-20260831-v5-slots120-dt0.100000,controlled_synthetic_motion,20260831,5,12.0,3507,3292,21,139,0,76,3.292,0.9386940404904477,0.0,0.023333333333333334,292.4665856622114,300.00000000000006,600.0000000000001,700.0000000000001,0.039635015682919876,0.021670943826632448,0.061305959509552324,0.9465209890741806,37,0,0,0.0,0.0,0,0,0.0,0.0,0.6493182234865688,0.9280851547876738,13.670023158312093,9.403147241880086e-07,0.009556148941215186,0.39006338043128197,118,cv_predictor,full,poisson,0.0,0.0,analytical
cv_predictive,synthetic-20260832-v5-slots120-dt0.100000,controlled_synthetic_motion,20260832,5,12.0,3513,2257,627,1084,0,172,2.257,0.6424708226586963,0.0,0.265,318.29862649534783,300.00000000000006,800.0,1200.0000000000002,0.3085681753487048,0.04896100199259892,0.35752917734130374,0.8754848719937937,50,0,0,0.0,0.0,0,0,0.0,0.0,0.4695588410838833,0.7324921207500418,14.41606123305108,2.991178925064998e-05,0.14912336368235435,1.0093734171890083,87,cv_predictor,full,poisson,0.0,0.0,analytical
cv_predictive,synthetic-20260833-v5-slots120-dt0.100000,controlled_synthetic_motion,20260833,5,12.0,3568,1418,467,1903,0,247,1.418,0.39742152466367714,0.0,0.45166666666666666,318.47672778561355,200.0,1000.0,1300.0,0.5333520179372198,0.06922645739910314,0.6025784753363229,0.79041248606466,57,0,0,0.0,0.0,0,0,0.0,0.0,0.40255782432776027,0.4437045236720427,10.715033311562701,1.4676734198751662e-05,0.13291356841218996,0.18993086088238528,44,cv_predictor,full,poisson,0.0,0.0,analytical
cv_predictive,synthetic-20260834-v5-slots120-dt0.100000,controlled_synthetic_motion,20260834,5,12.0,3640,2639,761,817,0,184,2.639,0.725,0.0,0.2966666666666667,470.59492231906023,400.0,900.0,1200.0000000000002,0.22445054945054946,0.05054945054945055,0.275,0.9266850610957824,59,0,0,0.0,0.0,0,0,0.0,0.0,0.5107216911412864,0.7362863763692693,12.06830107422366,7.987169794462314e-05,0.2201243334828857,0.31453746485586287,97,cv_predictor,full,poisson,0.0,0.0,analytical
cv_predictive,synthetic-20260835-v5-slots120-dt0.100000,controlled_synthetic_motion,20260835,5,12.0,3492,2050,2406,1215,0,227,2.05,0.5870561282932417,0.0,0.2,577.0731707317074,600.0000000000001,1100.0,1200.0000000000002,0.3479381443298969,0.0650057273768614,0.4129438717067583,0.73005698005698,3,0,0,0.0,0.0,0,0,0.0,0.0,0.5238346315457515,0.6061871502642877,11.167723450933236,0.00024815372645626833,0.495204698372496,0.3153861382446829,93,cv_predictor,full,poisson,0.0,0.0,analytical
cv_predictive,synthetic-20260836-v5-slots120-dt0.100000,controlled_synthetic_motion,20260836,5,12.0,3635,2567,1541,974,0,94,2.567,0.7061898211829436,0.0,0.4166666666666667,438.2158161277756,400.0,1100.0,1400.0000000000002,0.26795048143053646,0.025859697386519945,0.2938101788170564,0.8095238095238095,47,0,0,0.0,0.0,0,0,0.0,0.0,0.3557905899319653,0.45165884340196716,10.829357928270808,7.810502970053435e-05,0.3281023593641644,0.2110523503935967,84,cv_predictor,full,poisson,0.0,0.0,analytical
cv_predictive,synthetic-20260837-v5-slots120-dt0.100000,controlled_synthetic_motion,20260837,5,12.0,3554,1564,126,1642,0,348,1.564,0.44006752954417555,0.0,0.265,276.27877237851663,200.0,784.9999999999909,1000.0,0.46201463140123805,0.09791783905458638,0.5599324704558244,0.659915611814346,187,0,0,0.0,0.0,0,0,0.0,0.0,0.723341790718168,0.6751536478664844,12.990294479787256,3.2518187219791205e-06,0.03202759185510053,0.334423449345929,71,cv_predictor,full,poisson,0.0,0.0,analytical
cv_predictive,synthetic-20260838-v5-slots120-dt0.100000,controlled_synthetic_motion,20260838,5,12.0,3618,2653,784,855,0,110,2.653,0.7332780541735766,0.0,0.27666666666666667,369.09159442140975,300.00000000000006,900.0,1200.0000000000002,0.236318407960199,0.030403537866224434,0.26672194582642345,0.8947723440134907,27,0,0,0.0,0.0,0,0,0.0,0.0,0.4772823610745214,0.6380632084554893,11.51494472971338,3.207981976186256e-05,0.17992894884102967,0.28489422419798094,97,cv_predictor,full,poisson,0.0,0.0,analytical
kalman_predictive,synthetic-20260827-v5-slots120-dt0.100000,controlled_synthetic_motion,20260827,5,12.0,3587,2670,245,691,0,226,2.67,0.7443546138834681,0.0,0.2,563.558052434457,600.0000000000001,1000.0,1200.0000000000002,0.19264008921103987,0.06300529690549206,0.2556453861165319,0.8222975053895903,4,0,0,0.0,0.0,0,0,0.0,0.0,0.5183527363867785,0.772818477217005,13.699361593911954,4.538296711179161e-06,0.04801251780913873,0.4824378580971843,89,kalman_predictor,full,poisson,0.0,0.0,analytical
kalman_predictive,synthetic-20260828-v5-slots120-dt0.100000,controlled_synthetic_motion,20260828,5,12.0,3506,1618,2122,1597,0,291,1.618,0.4614945807187678,0.0,0.025,701.9777503090235,700.0000000000001,1300.0,1600.0,0.4555048488305762,0.08300057045065602,0.5385054192812322,0.4774269696075539,100,0,0,0.0,0.0,0,0,0.0,0.0,0.7939093437169258,0.7927968677190801,12.105880893152165,0.0001099239049953467,0.45726820908206434,0.5717848999684646,96,kalman_predictor,full,poisson,0.0,0.0,analytical
kalman_predictive,synthetic-20260829-v5-slots120-dt0.100000,controlled_synthetic_motion,20260829,5,12.0,3487,2242,1229,1048,0,197,2.242,0.6429595640952108,0.0,0.18666666666666668,431.08831400535234,400.0,1000.0,1300.0,0.3005448809865214,0.056495554918267854,0.35704043590478923,0.7754118119726798,118,0,0,0.0,0.0,0,0,0.0,0.0,0.6311076290668666,0.7862674132534756,11.612419779498838,9.07991266269142e-05,0.26031476168721873,0.2878836805449725,91,kalman_predictor,full,poisson,0.0,0.0,analytical
kalman_predictive,synthetic-20260830-v5-slots120-dt0.100000,controlled_synthetic_motion,20260830,5,12.0,3597,2661,586,773,0,163,2.661,0.7397831526271893,0.0,0.2,397.33183013904545,400.0,900.0,1300.0,0.21490130664442592,0.045315540728384764,0.2602168473728107,0.9091219678852067,5,0,0,0.0,0.0,0,0,0.0,0.0,0.692592909573118,0.7842161197264937,11.55924537129467,1.5277956966385834e-05,0.12515712608944066,0.23727952188647303,101,kalman_predictor,full,poisson,0.0,0.0,analytical
kalman_predictive,synthetic-20260831-v5-slots120-dt0.100000,controlled_synthetic_motion,20260831,5,12.0,3507,3297,21,134,0,76,3.297,0.9401197604790419,0.0,0.023333333333333334,295.84470730967547,300.00000000000006,600.0000000000001,700.0000000000001,0.038209295694325636,0.021670943826632448,0.059880239520958084,0.9479585968947671,35,0,0,0.0,0.0,0,0,0.0,0.0,0.6526649020436064,0.928558183127918,13.690995227822091,9.403141800615936e-07,0.009556142411702839,0.3924912192622564,118,kalman_predictor,full,poisson,0.0,0.0,analytical
kalman_predictive,synthetic-20260832-v5-slots120-dt0.100000,controlled_synthetic_motion,20260832,5,12.0,3513,2286,626,1075,0,152,2.286,0.6507258753202391,0.0,0.265,314.08573928258966,300.00000000000006,800.0,1200.0000000000002,0.30600626245374324,0.043267862226017646,0.3492741246797609,0.8867339022498061,45,0,0,0.0,0.0,0,0,0.0,0.0,0.46716078342327977,0.7313551731879041,14.641811347169323,2.9770506673933994e-05,0.14767957576748902,1.1668367767449714,89,kalman_predictor,full,poisson,0.0,0.0,analytical
kalman_predictive,synthetic-20260833-v5-slots120-dt0.100000,controlled_synthetic_motion,20260833,5,12.0,3568,1411,452,1906,0,251,1.411,0.3954596412556054,0.0,0.45166666666666666,322.2537207654146,200.0,1000.0,1300.0,0.5341928251121076,0.07034753363228699,0.6045403587443946,0.7865105908584169,57,0,0,0.0,0.0,0,0,0.0,0.0,0.3994869268685182,0.44430901260582417,10.718432602107223,1.4576491994673474e-05,0.13186581383363266,0.19005953829134112,49,kalman_predictor,full,poisson,0.0,0.0,analytical
kalman_predictive,synthetic-20260834-v5-slots120-dt0.100000,controlled_synthetic_motion,20260834,5,12.0,3640,2638,764,818,0,184,2.638,0.7247252747252747,0.0,0.2966666666666667,465.65579984836995,400.0,900.0,1200.0000000000002,0.22472527472527473,0.05054945054945055,0.2752747252747253,0.9266850610957824,59,0,0,0.0,0.0,0,0,0.0,0.0,0.5104105041656246,0.7363225974480302,12.071551955797787,7.972161691667735e-05,0.21906129886417,0.31473638809592236,97,kalman_predictor,full,poisson,0.0,0.0,analytical
kalman_predictive,synthetic-20260835-v5-slots120-dt0.100000,controlled_synthetic_motion,20260835,5,12.0,3492,2036,2394,1206,0,250,2.036,0.5830469644902635,0.0,0.2,557.2200392927308,600.0000000000001,1000.0,1200.0000000000002,0.34536082474226804,0.0715922107674685,0.41695303550973656,0.7250712250712251,3,0,0,0.0,0.0,0,0,0.0,0.0,0.5334294166925105,0.6054003403103099,11.203117091209608,0.0002482460224594891,0.4949146703572482,0.32290262610385134,91,kalman_predictor,full,poisson,0.0,0.0,analytical
kalman_predictive,synthetic-20260836-v5-slots120-dt0.100000,controlled_synthetic_motion,20260836,5,12.0,3635,2559,1564,982,0,94,2.559,0.7039889958734525,0.0,0.4166666666666667,428.33137944509576,300.00000000000006,1100.0,1400.0000000000002,0.2701513067400275,0.025859697386519945,0.29601100412654746,0.8070009460737938,47,0,0,0.0,0.0,0,0,0.0,0.0,0.3526719209917819,0.43493119128286767,10.829262119529213,7.945238153763807e-05,0.33213589061766685,0.21117331231995987,83,kalman_predictor,full,poisson,0.0,0.0,analytical
kalman_predictive,synthetic-20260837-v5-slots120-dt0.100000,controlled_synthetic_motion,20260837,5,12.0,3554,1585,128,1621,0,348,1.585,0.44597636465953855,0.0,0.265,270.41009463722395,200.0,700.0000000000001,1000.0,0.45610579628587505,0.09791783905458638,0.5540236353404615,0.6687763713080169,187,0,0,0.0,0.0,0,0,0.0,0.0,0.7304646554518982,0.6819881336453406,12.962141241034281,3.271807534992891e-06,0.033021346464371305,0.3328091481398448,75,kalman_predictor,full,poisson,0.0,0.0,analytical
kalman_predictive,synthetic-20260838-v5-slots120-dt0.100000,controlled_synthetic_motion,20260838,5,12.0,3618,2653,784,855,0,110,2.653,0.7332780541735766,0.0,0.27666666666666667,369.09159442140975,300.00000000000006,900.0,1200.0000000000002,0.236318407960199,0.030403537866224434,0.26672194582642345,0.8947723440134907,27,0,0,0.0,0.0,0,0,0.0,0.0,0.4772823610745214,0.6380632084554893,11.51494472971338,3.207981976186256e-05,0.17992894884102967,0.28489422419798094,97,kalman_predictor,full,poisson,0.0,0.0,analytical
imm_predictive,synthetic-20260827-v5-slots120-dt0.100000,controlled_synthetic_motion,20260827,5,12.0,3587,2671,244,690,0,226,2.671,0.7446333983830499,0.0,0.2,562.9352302508424,600.0000000000001,1000.0,1200.0000000000002,0.19236130471145804,0.06300529690549206,0.2553666016169501,0.8226054819833692,4,0,0,0.0,0.0,0,0,0.0,0.0,0.5184592962519798,0.7729394278942606,13.699026787641625,4.543830789155307e-06,0.048074030068888704,0.4824240856628384,88,imm_predictor,full,poisson,0.0,0.0,analytical
imm_predictive,synthetic-20260828-v5-slots120-dt0.100000,controlled_synthetic_motion,20260828,5,12.0,3506,1640,2146,1580,0,286,1.64,0.4677695379349686,0.0,0.025,697.0121951219512,700.0000000000001,1300.0,1600.0,0.450656018254421,0.08157444381061038,0.5322304620650313,0.48391856004721157,100,0,0,0.0,0.0,0,0,0.0,0.0,0.8036165133393289,0.7963789065131004,12.044331283639924,0.00011081032147075406,0.4632871106032679,0.5670917877918519,95,imm_predictor,full,poisson,0.0,0.0,analytical
imm_predictive,synthetic-20260829-v5-slots120-dt0.100000,controlled_synthetic_motion,20260829,5,12.0,3487,2248,1211,1035,0,204,2.248,0.644680240894752,0.0,0.18666666666666668,428.02491103202846,400.0,1000.0,1300.0,0.2968167479208489,0.0585030111843992,0.35531975910524805,0.773804740859783,116,0,0,0.0,0.0,0,0,0.0,0.0,0.6397188707739788,0.790590459897067,11.612950301430391,8.99838200572915e-05,0.2613631419581837,0.28749024128455525,89,imm_predictor,full,poisson,0.0,0.0,analytical
imm_predictive,synthetic-20260830-v5-slots120-dt0.100000,controlled_synthetic_motion,20260830,5,12.0,3597,2671,568,775,0,151,2.671,0.7425632471504031,0.0,0.2,407.5627105952827,400.0,900.0,1400.0000000000002,0.21545732554906866,0.04197942730052822,0.2574367528495969,0.9125384352579433,5,0,0,0.0,0.0,0,0,0.0,0.0,0.689917573397971,0.785448973507393,11.58289067976567,1.4862599402447493e-05,0.1214930382998358,0.2383322284919504,102,imm_predictor,full,poisson,0.0,0.0,analytical
imm_predictive,synthetic-20260831-v5-slots120-dt0.100000,controlled_synthetic_motion,20260831,5,12.0,3507,3292,21,139,0,76,3.292,0.9386940404904477,0.0,0.023333333333333334,292.4665856622114,300.00000000000006,600.0000000000001,700.0000000000001,0.039635015682919876,0.021670943826632448,0.061305959509552324,0.9465209890741806,37,0,0,0.0,0.0,0,0,0.0,0.0,0.6493182234865688,0.9280851547876738,13.670023158312093,9.403147241880086e-07,0.009556148941215186,0.39006338043128197,118,imm_predictor,full,poisson,0.0,0.0,analytical
imm_predictive,synthetic-20260832-v5-slots120-dt0.100000,controlled_synthetic_motion,20260832,5,12.0,3513,2286,626,1075,0,152,2.286,0.6507258753202391,0.0,0.265,314.08573928258966,300.00000000000006,800.0,1200.0000000000002,0.30600626245374324,0.043267862226017646,0.3492741246797609,0.8867339022498061,45,0,0,0.0,0.0,0,0,0.0,0.0,0.46716078342327977,0.7313551731879041,14.641811347169323,2.9770506673933994e-05,0.14767957576748902,1.1668367767449714,89,imm_predictor,full,poisson,0.0,0.0,analytical
imm_predictive,synthetic-20260833-v5-slots120-dt0.100000,controlled_synthetic_motion,20260833,5,12.0,3568,1414,446,1900,0,254,1.414,0.3963004484304933,0.0,0.45166666666666666,314.78076379066476,200.0,1000.0,1286.999999999989,0.5325112107623319,0.07118834080717489,0.6036995515695067,0.7881828316610925,57,0,0,0.0,0.0,0,0,0.0,0.0,0.40002560937303056,0.4441622831524358,10.723280556944172,1.4613063716206528e-05,0.13221098211491056,0.1903322861426395,53,imm_predictor,full,poisson,0.0,0.0,analytical
imm_predictive,synthetic-20260834-v5-slots120-dt0.100000,controlled_synthetic_motion,20260834,5,12.0,3640,2639,765,817,0,184,2.639,0.725,0.0,0.2966666666666667,464.759378552482,400.0,900.0,1200.0000000000002,0.22445054945054946,0.05054945054945055,0.275,0.9266850610957824,59,0,0,0.0,0.0,0,0,0.0,0.0,0.5107216911412864,0.7362863763692693,12.071924535983266,7.978119059172082e-05,0.21925963945124385,0.31472140735757886,97,imm_predictor,full,poisson,0.0,0.0,analytical
imm_predictive,synthetic-20260835-v5-slots120-dt0.100000,controlled_synthetic_motion,20260835,5,12.0,3492,2050,2406,1215,0,227,2.05,0.5870561282932417,0.0,0.2,577.0731707317074,600.0000000000001,1100.0,1200.0000000000002,0.3479381443298969,0.0650057273768614,0.4129438717067583,0.73005698005698,3,0,0,0.0,0.0,0,0,0.0,0.0,0.5238346315457515,0.6061871502642877,11.167723450933236,0.00024815372645626833,0.495204698372496,0.3153861382446829,93,imm_predictor,full,poisson,0.0,0.0,analytical
imm_predictive,synthetic-20260836-v5-slots120-dt0.100000,controlled_synthetic_motion,20260836,5,12.0,3635,2559,1560,982,0,94,2.559,0.7039889958734525,0.0,0.4166666666666667,429.66002344665884,300.00000000000006,1100.0,1400.0000000000002,0.2701513067400275,0.025859697386519945,0.29601100412654746,0.8070009460737938,47,0,0,0.0,0.0,0,0,0.0,0.0,0.35153485927694245,0.43417703908170346,10.829370703973469,7.941706815650103e-05,0.33159399503684006,0.2111672720007401,85,imm_predictor,full,poisson,0.0,0.0,analytical
imm_predictive,synthetic-20260837-v5-slots120-dt0.100000,controlled_synthetic_motion,20260837,5,12.0,3554,1564,126,1642,0,348,1.564,0.44006752954417555,0.0,0.265,276.27877237851663,200.0,784.9999999999909,1000.0,0.46201463140123805,0.09791783905458638,0.5599324704558244,0.659915611814346,187,0,0,0.0,0.0,0,0,0.0,0.0,0.723341790718168,0.6751536478664844,12.990294479787256,3.2518187219791205e-06,0.03202759185510053,0.334423449345929,71,imm_predictor,full,poisson,0.0,0.0,analytical
imm_predictive,synthetic-20260838-v5-slots120-dt0.100000,controlled_synthetic_motion,20260838,5,12.0,3618,2653,784,855,0,110,2.653,0.7332780541735766,0.0,0.27666666666666667,369.09159442140975,300.00000000000006,900.0,1200.0000000000002,0.236318407960199,0.030403537866224434,0.26672194582642345,0.8947723440134907,27,0,0,0.0,0.0,0,0,0.0,0.0,0.4772823610745214,0.6380632084554893,11.51494472971338,3.207981976186256e-05,0.17992894884102967,0.28489422419798094,97,imm_predictor,full,poisson,0.0,0.0,analytical
predictive_utility,synthetic-20260827-v5-slots120-dt0.100000,controlled_synthetic_motion,20260827,5,12.0,3587,2691,296,701,0,195,2.691,0.7502090883746864,0.0,0.2,543.2181345224824,500.0,1000.0,1200.0000000000002,0.1954279342068581,0.054362977418455534,0.24979091162531364,0.8287650138589467,4,0,0,0.0,0.0,0,0,0.0,0.0,0.5070686955069528,0.7700967629827439,13.603744391532754,5.3445477398390334e-06,0.05451156343059866,0.4744658615896634,90,trajectory_predictive,full,poisson,0.0,0.0,analytical
predictive_utility,synthetic-20260828-v5-slots120-dt0.100000,controlled_synthetic_motion,20260828,5,12.0,3506,1640,2146,1580,0,286,1.64,0.4677695379349686,0.0,0.025,697.0121951219512,700.0000000000001,1300.0,1600.0,0.450656018254421,0.08157444381061038,0.5322304620650313,0.48391856004721157,100,0,0,0.0,0.0,0,0,0.0,0.0,0.8036165133393289,0.7963789065131004,12.044331283639924,0.00011081032147075406,0.4632871106032679,0.5670917877918519,95,trajectory_predictive,full,poisson,0.0,0.0,analytical
