scheduler,scenario_id,source,seed,vehicles,duration_s,generated_packets,delivered_packets,failed_attempts,deadline_dropped_packets,overflow_dropped_packets,remaining_packets,goodput_mbps,packet_delivery_ratio,scheduled_outage_fraction,availability_outage_fraction,mean_latency_ms,p95_latency_ms,deadline_miss_ratio,jain_fairness,switch_count,prediction_horizon_steps
oracle,synthetic-20260832,controlled_synthetic_motion,20260832,5,12.0,3513,2287,611,1054,0,172,2.287,0.6510105323085682,0.0,0.265,304.4162658504591,700.0000000000001,0.3000284656988329,0.4789783188314486,93,3
reactive_greedy,synthetic-20260833,controlled_synthetic_motion,20260833,5,12.0,3568,1392,373,1931,0,245,1.392,0.3901345291479821,0.0,0.45166666666666666,266.16379310344826,900.0,0.5411995515695067,0.3932490684591218,74,3
predictive_utility,synthetic-20260833,controlled_synthetic_motion,20260833,5,12.0,3568,1419,452,1902,0,247,1.419,0.3977017937219731,0.0,0.45166666666666666,327.6250880902044,1000.0,0.5330717488789237,0.40740509933928926,47,3
link_lifetime,synthetic-20260833,controlled_synthetic_motion,20260833,5,12.0,3568,1492,708,1831,0,245,1.492,0.41816143497757846,0.0,0.45166666666666666,301.87667560321717,900.0,0.5131726457399103,0.42585920267522187,68,3
oracle,synthetic-20260833,controlled_synthetic_motion,20260833,5,12.0,3568,1419,452,1902,0,247,1.419,0.3977017937219731,0.0,0.45166666666666666,327.6250880902044,1000.0,0.5330717488789237,0.40740509933928926,47,3
reactive_greedy,synthetic-20260834,controlled_synthetic_motion,20260834,5,12.0,3640,2745,52,801,0,94,2.745,0.7541208791208791,0.0,0.2966666666666667,209.39890710382514,500.0,0.22005494505494505,0.5043546039524268,115,3
predictive_utility,synthetic-20260834,controlled_synthetic_motion,20260834,5,12.0,3640,2618,685,794,0,228,2.618,0.7192307692307692,0.0,0.2966666666666667,467.7616501145913,1000.0,0.21813186813186813,0.5343336152895638,98,3
link_lifetime,synthetic-20260834,controlled_synthetic_motion,20260834,5,12.0,3640,2722,748,782,0,136,2.722,0.7478021978021978,0.0,0.2966666666666667,296.21601763409257,700.0000000000001,0.21483516483516482,0.5178308269809642,108,3
oracle,synthetic-20260834,controlled_synthetic_motion,20260834,5,12.0,3640,2618,685,794,0,228,2.618,0.7192307692307692,0.0,0.2966666666666667,467.7616501145913,1000.0,0.21813186813186813,0.5343336152895638,98,3
reactive_greedy,synthetic-20260835,controlled_synthetic_motion,20260835,5,12.0,3492,2158,213,1184,0,150,2.158,0.6179839633447881,0.0,0.2,234.6153846153846,600.0000000000001,0.33906071019473083,0.5191351322428104,114,3
predictive_utility,synthetic-20260835,controlled_synthetic_motion,20260835,5,12.0,3492,2046,2359,1210,0,236,2.046,0.5859106529209622,0.0,0.2,568.377321603128,1000.0,0.3465063001145475,0.5157341369331055,93,3
link_lifetime,synthetic-20260835,controlled_synthetic_motion,20260835,5,12.0,3492,2036,2567,1220,0,236,2.036,0.5830469644902635,0.0,0.2,580.3045186640471,1000.0,0.34936998854524626,0.510205975568479,87,3
oracle,synthetic-20260835,controlled_synthetic_motion,20260835,5,12.0,3492,2046,2359,1210,0,236,2.046,0.5859106529209622,0.0,0.2,568.377321603128,1000.0,0.3465063001145475,0.5157341369331055,93,3
reactive_greedy,synthetic-20260836,controlled_synthetic_motion,20260836,5,12.0,3635,2502,567,1039,0,94,2.502,0.6883081155433287,0.0,0.4166666666666667,281.0951239008793,1000.0,0.2858321870701513,0.34117791326783375,57,3
predictive_utility,synthetic-20260836,controlled_synthetic_motion,20260836,5,12.0,3635,2531,1531,1010,0,94,2.531,0.6962861072902339,0.0,0.4166666666666667,420.6637692611616,1100.0,0.27785419532324623,0.3523554356217233,84,3
link_lifetime,synthetic-20260836,controlled_synthetic_motion,20260836,5,12.0,3635,2556,1639,981,0,98,2.556,0.7031636863823933,0.0,0.4166666666666667,440.29733959311426,1100.0,0.2698762035763411,0.35326985459081733,86,3
oracle,synthetic-20260836,controlled_synthetic_motion,20260836,5,12.0,3635,2531,1531,1010,0,94,2.531,0.6962861072902339,0.0,0.4166666666666667,420.6637692611616,1100.0,0.27785419532324623,0.3523554356217233,84,3
reactive_greedy,synthetic-20260837,controlled_synthetic_motion,20260837,5,12.0,3554,1575,127,1631,0,348,1.575,0.44316263365222286,0.0,0.265,229.0793650793651,500.0,0.45891952729319074,0.7251519000477954,81,3
predictive_utility,synthetic-20260837,controlled_synthetic_motion,20260837,5,12.0,3554,1591,126,1615,0,348,1.591,0.447664603263928,0.0,0.265,264.80201131363924,700.0000000000001,0.4544175576814857,0.7333528408835761,73,3
link_lifetime,synthetic-20260837,controlled_synthetic_motion,20260837,5,12.0,3554,1683,1400,1528,0,343,1.683,0.47355092853123243,0.0,0.265,334.9970291146762,800.0,0.42993809791783905,0.7490196596938593,92,3
oracle,synthetic-20260837,controlled_synthetic_motion,20260837,5,12.0,3554,1591,126,1615,0,348,1.591,0.447664603263928,0.0,0.265,264.80201131363924,700.0000000000001,0.4544175576814857,0.7333528408835761,73,3
reactive_greedy,synthetic-20260838,controlled_synthetic_motion,20260838,5,12.0,3618,2609,359,899,0,110,2.609,0.7211166390270868,0.0,0.27666666666666667,280.7589114603296,900.0,0.24847982310668879,0.4608796272002952,92,3
predictive_utility,synthetic-20260838,controlled_synthetic_motion,20260838,5,12.0,3618,2640,768,857,0,121,2.64,0.7296849087893864,0.0,0.27666666666666667,362.15909090909093,1000.0,0.23687119955776673,0.4869797070827123,99,3
link_lifetime,synthetic-20260838,controlled_synthetic_motion,20260838,5,12.0,3618,2667,913,841,0,110,2.667,0.7371475953565506,0.0,0.27666666666666667,335.09561304836893,900.0,0.23244886677722498,0.47021069906343116,103,3
oracle,synthetic-20260838,controlled_synthetic_motion,20260838,5,12.0,3618,2640,772,857,0,121,2.64,0.7296849087893864,0.0,0.27666666666666667,362.31060606060606,1000.0,0.23687119955776673,0.4869797070827123,100,3
reactive_greedy,synthetic-20260827,controlled_synthetic_motion,20260827,5,12.0,3587,2802,327,610,0,175,2.802,0.7811541678282687,0.0,0.2,241.50606709493218,700.0000000000001,0.1700585447449122,0.5035101783242929,107,5
predictive_utility,synthetic-20260827,controlled_synthetic_motion,20260827,5,12.0,3587,2652,249,739,0,196,2.652,0.7393364928909952,0.0,0.2,536.4630467571644,1000.0,0.2060217451909674,0.5114170179440511,86,5
link_lifetime,synthetic-20260827,controlled_synthetic_motion,20260827,5,12.0,3587,2864,459,542,0,181,2.864,0.7984388068023418,0.0,0.2,306.49441340782124,600.0000000000001,0.1511011987733482,0.5210213229787507,112,5
oracle,synthetic-20260827,controlled_synthetic_motion,20260827,5,12.0,3587,2652,249,739,0,196,2.652,0.7393364928909952,0.0,0.2,536.4630467571644,1000.0,0.2060217451909674,0.5114170179440511,86,5
reactive_greedy,synthetic-20260828,controlled_synthetic_motion,20260828,5,12.0,3506,1622,287,1624,0,260,1.622,0.46263548203080435,0.0,0.025,274.5992601726264,900.0,0.4632059326868226,0.6698332599225495,111,5
predictive_utility,synthetic-20260828,controlled_synthetic_motion,20260828,5,12.0,3506,1622,2107,1595,0,289,1.622,0.46263548203080435,0.0,0.025,687.7928483353884,1300.0,0.4549343981745579,0.7983262023972083,88,5
link_lifetime,synthetic-20260828,controlled_synthetic_motion,20260828,5,12.0,3506,1668,2661,1567,0,271,1.668,0.4757558471192242,0.0,0.025,797.6618705035971,1400.0000000000002,0.44694808899030236,0.8251034261870657,82,5
oracle,synthetic-20260828,controlled_synthetic_motion,20260828,5,12.0,3506,1622,2107,1595,0,289,1.622,0.46263548203080435,0.0,0.025,687.7928483353884,1300.0,0.4549343981745579,0.7983262023972083,88,5
reactive_greedy,synthetic-20260829,controlled_synthetic_motion,20260829,5,12.0,3487,2224,124,1073,0,190,2.224,0.6377975336965873,0.0,0.18666666666666668,234.3974820143885,600.0000000000001,0.3077143676512762,0.6021773060524823,110,5
predictive_utility,synthetic-20260829,controlled_synthetic_motion,20260829,5,12.0,3487,2251,1232,1032,0,204,2.251,0.6455405792945225,0.0,0.18666666666666668,413.8605064415815,1000.0,0.29595640952107827,0.6415439847508304,91,5
link_lifetime,synthetic-20260829,controlled_synthetic_motion,20260829,5,12.0,3487,2213,1546,1076,0,198,2.213,0.6346429595640952,0.008333333333333333,0.18666666666666668,463.1269769543606,1100.0,0.30857470605104675,0.6395523601386616,91,5
oracle,synthetic-20260829,controlled_synthetic_motion,20260829,5,12.0,3487,2251,1232,1032,0,204,2.251,0.6455405792945225,0.0,0.18666666666666668,413.8605064415815,1000.0,0.29595640952107827,0.6415439847508304,91,5
reactive_greedy,synthetic-20260830,controlled_synthetic_motion,20260830,5,12.0,3597,2482,269,945,0,170,2.482,0.6900194606616625,0.0,0.2,269.5004029008864,794.9999999999818,0.2627189324437031,0.6490639115212268,119,5
predictive_utility,synthetic-20260830,controlled_synthetic_motion,20260830,5,12.0,3597,2698,686,745,0,154,2.698,0.7500695023630803,0.0,0.2,393.180133432172,900.0,0.2071170419794273,0.6971556196600228,103,5
link_lifetime,synthetic-20260830,controlled_synthetic_motion,20260830,5,12.0,3597,2725,741,704,0,168,2.725,0.7575757575757576,0.0,0.2,342.60550458715596,800.0,0.19571865443425077,0.7079342501223884,113,5
oracle,synthetic-20260830,controlled_synthetic_motion,20260830,5,12.0,3597,2698,686,745,0,154,2.698,0.7500695023630803,0.0,0.2,393.180133432172,900.0,0.2071170419794273,0.6971556196600228,103,5
reactive_greedy,synthetic-20260831,controlled_synthetic_motion,20260831,5,12.0,3507,3222,3,222,0,63,3.222,0.9187339606501284,0.0,0.023333333333333334,235.53693358162633,500.0,0.06330196749358426,0.6193447927778295,118,5
predictive_utility,synthetic-20260831,controlled_synthetic_motion,20260831,5,12.0,3507,3306,44,130,0,71,3.306,0.9426860564585116,0.0,0.023333333333333334,323.5329703569268,600.0000000000001,0.03706871970345024,0.6496698342840941,117,5
link_lifetime,synthetic-20260831,controlled_synthetic_motion,20260831,5,12.0,3507,3310,159,128,0,69,3.31,0.9438266324493869,0.0,0.023333333333333334,266.19335347432025,500.0,0.03649843170801255,0.653529390360947,118,5
oracle,synthetic-20260831,controlled_synthetic_motion,20260831,5,12.0,3507,3306,44,130,0,71,3.306,0.9426860564585116,0.0,0.023333333333333334,323.5329703569268,600.0000000000001,0.03706871970345024,0.6496698342840941,117,5
